product_id,product_handle,name_of_customer,email,rating,title,review,date_of_review,link_of_img_1,link_of_img_2,link_of_img_3,link_of_img_4,link_of_img_5,reply
1000000676452166,restalign-pillow,Stephanie K.,ali_review_la4D4CFDG@example.com,5,,I just purchased another! This is such an amazing pillow.,2025-08-01 00:00:00 +0000 UTC,https://images.loox.io/uploads/2025/8/1/IxXJk26Oi.jpg,,,,,
1000000676452166,restalign-pillow,Emma C.,ali_review_ciL-X5G1w@example.com,5,,It stays cool all night and gives great support for the neck. Super comfortable and just the right height for me. I loved it so much I got another one for my mom!,2025-08-03 00:00:00 +0000 UTC,https://images.loox.io/uploads/2025/8/3/Y8frsqmk6.jpg,,,,,
1000000676452166,restalign-pillow,Jessica L.,ali_review_FgYk2bl22@example.com,5,,"Absolutely love it! It’s big, super soft, and honestly way better than the cervical pillow I was originally planning to get. It still supports my neck, but feels much gentler and looks so much nicer too. Total upgrade!",2025-08-04 00:00:00 +0000 UTC,https://images.loox.io/uploads/2025/8/4/5tV6XrYbE.jpg,,,,,
1000000676452166,restalign-pillow,Emily P.,ali_review_FnsCFVlfV@example.com,5,,"I love this! I use it all around my home. I sleep on it, and sometimes I even use it as a back cushion on sofa. Just love it!",2025-08-08 00:00:00 +0000 UTC,https://images.loox.io/uploads/2025/8/8/bloAQhQYk.jpg,,,,,
1000000676452166,restalign-pillow,Brooke S.,ali_review_k-qFb_-qW@example.com,5,,Honestly this is better than I expected. I kept seeing all the videos everyone saying they love it so I had to try it. I’ve purchased 4 in total and can’t wait to gift them this year! If you haven’t tried the comforter I highly recommend that as well.,2025-08-11 00:00:00 +0000 UTC,https://images.loox.io/uploads/2025/8/11/y-pAIdMzg.jpg,,,,,
1000000676452166,restalign-pillow,Chloe N.,ali_review_9VB8vJCky@example.com,5,,"When I say I’ve bought so many pillows, this is what I mean….. And this cloud pillow turned out to be the best, yet it’s the cheapest of them all, I didn’t even believe it when I placed the order, but after a few nights’ sleep, it’s just perfect. I’d recommend it to anyone I know.",2025-08-13 00:00:00 +0000 UTC,https://images.loox.io/uploads/2025/8/13/PNzgEt2--.jpg,,,,,
1000000676452166,restalign-pillow,Riley J.,ali_review_1R3bDmc-s@example.com,5,,"My friend told me to try this pillow, and I’m so glad I did. I’m a light sleeper and really picky about bedding, but after using it for a month I can honestly say it’s the best one I’ve had. It stays cool all night, and the memory foam supports my neck perfectly. Definitely getting another one for my boyfriend!",2025-08-19 00:00:00 +0000 UTC,https://images.loox.io/uploads/2025/8/19/xRrILw__q.jpg,,,,,
1000000676452166,restalign-pillow,Jordyn G.,ali_review_wM5BIn1Lj@example.com,5,,I love that it stays so cold all night no matter how long you sleep on it. Incredible if you’re a hot sleeper! It also helps take pressure off my neck and shoulders so I haven’t been waking up in pain like I normally would! 12/10 recommend,2025-08-17 00:00:00 +0000 UTC,https://images.loox.io/uploads/2025/8/17/066dQYRIu.jpg,,,,,
1000000676452166,restalign-pillow,Linda D.,ali_review_27yQgZ2FW@example.com,5,,Love how much better my neck feels in the morning!,2026-09-12 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/9/12/n1g3M5mlS.jpg,,,,,
1000000676452166,restalign-pillow,Kristen B.,ali_review_HZBNeG7sN@example.com,4,,Bought this for my husband who is rather picky.  He kept the pillow which is a ringing endorsement!,2026-09-12 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/9/12/V4i0imjOJ.jpg,,,,,
1000000676452166,restalign-pillow,Debra N.,ali_review_I3ABOr4LV@example.com,5,,I absolutely love my pillow!! I know once I climb into my bed it’s all about the relaxation and comfort I get once I lay my head down on that “Cool and Comfortable pillow!! It’s cradles my head and neck like no other I’ve ever had in my life!! I go bed and relax right away. I have a great night sleep with my Mello Cloud  pillow that stays cool all night through.  I wake rested with no more stiff neck no more bad shoulders just sound sleep.💤🥰,2026-09-10 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/9/10/uO6hslnaw.jpg,,,,,
1000000676452166,restalign-pillow,Noemi R.,ali_review_yfo569lz-@example.com,5,,"Love the pillow cases, love its softness and how cool temperature it feels.",2026-09-10 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/9/10/dM8Mqbw_3.jpg,,,,,
1000000676452166,restalign-pillow,Heather S.,ali_review_ch9f3eDqN@example.com,5,,Love the comforter and the pillows feels like I’m on a cloud ..,2026-09-08 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/9/8/N_gt3YA4a.jpg,,,,,
1000000676452166,restalign-pillow,Meg G.,ali_review_yA5c6k_Io@example.com,4,,Such a better design than the other ergonomic pillows I have tried! I should have gotten the large size now that I realized it was for people 5’7’ and up but am happy with this pillow! Makes sleeping on my back actually feasible too which is a plus!,2026-09-07 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/9/7/GhzsohftG.jpg,,,,,
1000000676452166,restalign-pillow,Amy J.,ali_review_U3cRCCmVN@example.com,5,,Most comfortable pillow I have found yet. Just firm enough to hold and great neck support,2026-09-06 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/9/6/Py3d_iRoqw.jpg,,,,,
1000000676452166,restalign-pillow,Samuel S.,ali_review_vXO29xZ09@example.com,5,,Me and my wife fishing together and having a great time,2026-09-03 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/9/3/R_-J7x1mW.jpg,,,,,
1000000676452166,restalign-pillow,Susan D.,ali_review_XK0eWvNsZ@example.com,5,,"Haven’t slept this good in years. Highly recommended, especially if you have sore neck.",2026-09-02 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/9/2/Jm3bg1bps.jpg,,,,,
1000000676452166,restalign-pillow,Matthew W.,ali_review_tKtqqotFk@example.com,5,,Love it and everyone else in my house wants it now too,2026-09-02 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/9/2/iORsgYmGp.jpg,,,,,
1000000676452166,restalign-pillow,Susan K.,ali_review_BbmszNqvxh@example.com,5,,"We love these pillows!! Now, I want to try the Halo Pillow and see if it helps my neck.",2026-08-31 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/8/31/_i77A84dG9.jpg,,,,,
1000000676452166,restalign-pillow,Tara H.,ali_review_G2gODQKou@example.com,5,,This is a different kind of pillow. It is soft yet firm. It holds its shape. It has a cool touch to the pillowcase.  It is like my grandkid's squishmallow!  I really like this pillow.,2026-08-30 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/8/30/ROn3KVZroM.jpg,,,,,
1000000676452166,restalign-pillow,David A.,ali_review_Q0C9wz3kf@example.com,5,,Love the pillow perfect support for my shoulder and neck as a side sleeper!,2026-08-29 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/8/29/9kl5_w_4P.jpg,,,,,
1000000676452166,restalign-pillow,Deborah B.,ali_review_OxEblR8z2Z@example.com,5,,Getting much better sleep not having to change positions all the time and my neck feels much better,2026-08-29 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/8/29/YIYMtSX1p.jpg,,,,,
1000000676452166,restalign-pillow,Wittney F.,ali_review_ieO0P4erR@example.com,5,,"Your first question is likely, why is there a toy shark and not the pillow in this review? Well, a week ago, my partner put this toy under my pillow thinking I would feel it and find it. A week later and I never even found it until he pulled it out today. Either I just found out I'm not a princess or these pillows are amazing!   I have multiple of the Cloud Pillows and I love them! My neck pain is gone. Highly recommend!",2026-08-29 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/8/29/-HVczQH4W.jpg,,,,,
1000000676452166,restalign-pillow,Melissa B.,ali_review_vn53GfZr4@example.com,5,,I love this pillow. It’s so comfortable and my head sinks right in.,2026-08-27 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/8/27/w0sPL8ym3.jpg,,,,,
1000000676452166,restalign-pillow,Cyrus Y.,ali_review_5xv-T84Pk@example.com,4,,"Best pillow for both back and side sleeping so far, and I’ve tried many",2026-08-27 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/8/27/DcAOLYlA2.jpg,,,,,
1000000676452166,restalign-pillow,Kimberly L.,ali_review_jDSu5jWBK@example.com,5,,I have neck problems and also get migraines.. this pillow feels amazing and my neck is feeling better,2026-08-25 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/8/25/sWj_EUQKG.jpg,,,,,
1000000676452166,restalign-pillow,Ana S.,ali_review_5wFTqUV4Ec@example.com,5,,I have already two and  I’m going to purchase another one. You will get the best sleep ever !,2026-08-25 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/8/25/ZG3twddqb.jpg,,,,,
1000000676452166,restalign-pillow,Heather R.,ali_review_BOjdIdP95@example.com,5,,The pillow and cooling sheet are awesome. I don't know when I have slept so comfortably,2026-08-24 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/8/27/yis5l6TZ3.jpg,,,,,
1000000676452166,restalign-pillow,Courtney B.,ali_review_7AZp-EqlE@example.com,5,,Love the pillow! Best sleep I've had in years because of it!,2026-08-23 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/8/23/HCktVx4EV.jpg,,,,,
1000000676452166,restalign-pillow,Kathie K.,ali_review_LhxhhyrUf@example.com,5,,I love this pillow.  But I need more of the pillow covers and more pillow cases.  Where can I order just cases and pillow covers,2026-08-22 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/8/22/_R06bpA0yf.jpg,,,,,
1000000676452166,restalign-pillow,Mary S.,ali_review_VBxmcApow@example.com,5,,I have had a sore neck forever.   A friend of mine had neck surgery and was told to get this pillow.   She loves it.  I bought on and am now ordering 2 for my brother and his wife.   Let be it,2026-08-22 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/8/22/9EenK9_X-.jpg,,,,,
1000000676452166,restalign-pillow,Natalie S.,ali_review_ku9gypaWl@example.com,5,,Absolutely love this pillow.  We ordered more so my bf can have one when he is in his tractor trailer. We also ordered some for our son and his partner. we also love the soft pillow cases. I may get them as Christmas gifts for my other children.,2026-08-22 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/8/22/vGdc-Wqsl.jpg,,,,,
1000000676452166,restalign-pillow,Stacey Q.,ali_review_SXgw7s3RhJ@example.com,5,,"I bought this Mellow pillow for my daughter’s dorm room, and we love it! It’s incredibly soft, comfortable, and cozy, helping her sleep well. The quality is excellent for the price.  Highly recommend!",2026-08-22 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/8/22/94eX3eV1q.jpg,,,,,
1000000676452166,restalign-pillow,Sarisa J.,ali_review_7qlFOdvOR1@example.com,5,,Perfect size pillow. My quality of sleep is better because my neck does not hurt and the coolness of the pillow is evenly distributed throughout on both sides. Highly recommend!,2026-08-20 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/8/20/Ptw0wxrq1.jpg,,,,,
1000000676452166,restalign-pillow,Tzulma L.,ali_review_H_-r-ht_W@example.com,5,,Super comfy,2026-08-20 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/8/20/p6aEAL4qb_.jpg,,,,,
1000000676452166,restalign-pillow,Rene' L.,ali_review_e3Hw5PckK@example.com,5,,Best sleep in years!,2026-08-19 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/8/19/2K-o_k4by.jpg,,,,,
1000000676452166,restalign-pillow,Chris B.,ali_review_CIdVcBeYF@example.com,5,,Best pillow I've ever owned.  Don't know how you guys did it but you did.,2026-08-15 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/8/15/1pmfGN6mu.jpg,,,,,
1000000676452166,restalign-pillow,Britt,ali_review_bp8Ez4T-8@example.com,5,,"I was definitely skeptical after seeing the Cloud Align all over social media, but it’s worth it! It’s plush and comfy without being rigid, while still giving great support. I got the lavender and love it. I’ve never slept better, and it’s even helping alleviate the neck and shoulder pain I’ve been going to PT for. Can’t believe I waited this long to invest in a good pillow!",2026-08-14 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/8/14/VxN2qhqTye.jpg,,,,,
1000000676452166,restalign-pillow,Mariana R.,ali_review_H0zq9yNc7@example.com,5,,I bought the pink one its soo pretty gave it to my mom. I bought a second one the grey one with grey pillows my 9 year old son loooves it. I looove it sooo much too. I cant wait to get my midnight one with pillows. I for suuure recommend it to my family & friends and everyone on IG. Its the fluffiest most comfortable comforter and pillows you will ever own! You wont regret it. Just be careful if you have cats they will love it too but caused alittle damage with its paws. Other than that Buuuy IT...,2026-08-12 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/8/12/dZGNH2hGO.jpg,,,,,
1000000676452166,restalign-pillow,Shadi N.,ali_review_QdZn9qVEJ@example.com,5,,The absolute best rest for your body,2026-08-12 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/8/12/D9y08vJ46.jpg,,,,,
1000000676452166,restalign-pillow,Jean S.,ali_review_ZKrER6ZFg@example.com,5,,My grandkids loved my pillow so much that they wanted their own. Both absolutely love them & use them every night!!! Thank you for adding all the colors!!,2026-08-12 00:00:00 +0000 UTC,https://images.loox.io/uploads/2026/8/12/gS9IBcL5n.jpg,,,,,
